epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.2821621365017362e-07,1.3864030798806084
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,58.43333333333333,9.6,9.003433816697862,1.207139956580268
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,72.25555555555556,8.4,5.509578734503852,1.2736398759418064
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,80.8,3.311111111111111,8.18274724706014,1.2574408405092028
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,81.41111111111111,4.2,7.806607432471381,1.2187182008955213
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,81.74444444444444,4.322222222222222,7.909650793711345,1.189901822090149
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,82.12222222222222,3.577777777777778,8.153920613182915,1.2188563068177964
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,82.26666666666667,4.688888888888889,7.759241249084472,1.1880263636906943
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,82.16666666666667,4.788888888888889,7.93371855629815,1.1945802669525147
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,81.75555555555556,5.322222222222222,7.186521497938368,1.181448416603936
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,82.7,4.4,8.051894421895344,1.204457118988037
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,82.33333333333333,4.2444444444444445,8.007042150709363,1.1921954712337919
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.3053476640184018e-07,12.05365614912245
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,63.13333333333333,3.7777777777777777,7.978469493442112,1.47266483508216
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,77.66666666666667,3.688888888888889,7.607000525580512,1.227327269024319
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,82.16666666666667,2.3444444444444446,8.861851298014322,1.1595119680828518
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,82.03333333333333,3.8333333333333335,8.468147968716092,1.1224945786794027
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,81.88888888888889,5.211111111111111,7.999158517625597,1.1145720584657457
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,82.34444444444445,3.6555555555555554,8.509031879848903,1.0999437610838148
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,82.95555555555555,3.311111111111111,8.67834411960178,1.1069869626363118
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,83.4,3.011111111111111,8.64095458263821,1.0842594057718913
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,82.54444444444445,3.7777777777777777,8.872189491271973,1.0800230627059937
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,82.54444444444445,4.511111111111111,8.498768354203966,1.0674964911142986
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,83.05555555555556,4.1,8.410154316796197,1.0602591910892063
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
12,83.12222222222222,3.2,8.984523835923937,1.0604973538716633
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
13,83.46666666666667,3.588888888888889,8.539168958452013,1.0291245075331794
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
14,83.4,2.8555555555555556,9.201066488477919,1.0453077100118002
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
15,83.47777777777777,3.611111111111111,8.890158746083577,1.0275790864626566
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
16,82.97777777777777,4.322222222222222,8.838408758799234,1.0277638229264154
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
17,82.9,3.6222222222222222,8.932541902330186,1.0179537374708387
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
18,82.9888888888889,4.522222222222222,8.502867268880209,1.0076763332684835
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
19,82.6,5.377777777777778,8.857030128055149,1.014344602002038
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
20,82.93333333333334,3.6777777777777776,9.498537121242947,1.0094341716766357
